collision_id,crash_date,crash_time,borough,zip_code,latitude,longitude,on_street_name,cross_street_name,off_street_name,number_of_persons_injured,number_of_persons_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,contributing_factor_vehicle_1,contributing_factor_vehicle_2,vehicle_type_code1,vehicle_type_code2
4408038,2021-04-16T00:00:00.000,23:20,BROOKLYN,11226.0,40.649788,-73.9622,EAST 19 STREET,,CHURCH AVENUE,3,0,0,0,0,0,3,0,Unspecified,Unspecified,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle
4408224,2021-04-16T00:00:00.000,18:15,BROOKLYN,11221.0,40.686928,-73.920815,,50 HOWARD AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Sedan,Station Wagon/Sport Utility Vehicle
4407392,2021-04-14T00:00:00.000,13:00,BROOKLYN,11211.0,40.712963,-73.93647,,950 GRAND STREET,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,Pick-up Truck,
4456603,2021-06-30T00:00:00.000,11:47,QUEENS,11412.0,40.694294,-73.74868,203 STREET,,118 AVENUE,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle
4407765,2021-04-14T00:00:00.000,20:14,,,40.801285,-73.95394,7 AVENUE,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Sedan,Sedan
4407821,2021-04-14T00:00:00.000,15:16,BROOKLYN,11220.0,40.633976,-74.02211,,459 BAY RIDGE AVENUE,,1,0,0,0,0,0,1,0,Passing Too Closely,Unspecified,Sedan,Sedan
4407971,2021-04-15T00:00:00.000,19:30,,,40.670296,-73.997604,GOWANUS EXPY (BQE),,,0,0,0,0,0,0,0,0,Unspecified,,Sedan,
4408071,2021-04-16T00:00:00.000,13:15,,,40.66423,-73.919106,HOWARD AVENUE,,BLAKE AVENUE,0,0,0,0,0,0,0,0,View Obstructed/Limited,Driver Inexperience,Station Wagon/Sport Utility Vehicle,Sedan
4407430,2021-04-14T00:00:00.000,21:08,BRONX,10451.0,40.817696,-73.922615,,558 MORRIS AVENUE,,0,0,0,0,0,0,0,0,Steering Failure,Unspecified,Station Wagon/Sport Utility Vehicle,Sedan
4408259,2021-04-13T00:00:00.000,20:34,BROOKLYN,11213.0,40.668495,-73.925606,EASTERN PARKWAY,,BUFFALO AVENUE,1,0,1,0,0,0,0,0,Failure to Yield Right-of-Way,,Sedan,
4407049,2021-04-13T00:00:00.000,14:10,QUEENS,11434.0,40.662476,-73.768326,,146-22 BREWER BOULEVARD,,0,0,0,0,0,0,0,0,Unspecified,,Sedan,
4407592,2021-04-15T00:00:00.000,12:16,BRONX,10460.0,40.841087,-73.86447,EAST TREMONT AVENUE,,WHITE PLAINS ROAD,0,0,0,0,0,0,0,0,Traffic Control Disregarded,Unspecified,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle
